Human,CatA,CatB,CatC,SetScore,Viability,Diversity,Distinctiveness,Tension,RoleCoverage,SelectedRank
田中 健一,クロ,トラ,モモ,83.6,92.1,58.5,29.5,86.2,3,1
佐藤 美咲,ミケ,クロ,トラ,68.8,79.2,43.9,11.8,70.6,3,3
山本 和夫,クロ,トラ,シロ,72.1,90.6,47.3,33.1,83.7,2,2
鈴木 彩,モモ,ゴマ,ソラ,70.5,88.9,41.4,39.7,80.4,2,2
高橋 直樹,トラ,サバ,ハチ,75.3,85.3,48.8,12.8,88.1,3,4
伊藤 由美,シロ,モモ,ゴマ,59.1,96.2,20.9,25.9,92.9,1,2
中村 浩二,クロ,トラ,モモ,80.8,85.0,63.5,27.9,76.0,3,1
小林 麻衣,クロ,トラ,サバ,67.4,84.0,36.8,26.5,97.7,2,1
加藤 修,ミケ,ゴマ,ソラ,68.8,97.0,34.1,17.2,94.4,2,2
吉田 恵,ミケ,クロ,ソラ,71.5,89.7,48.2,33.8,79.0,2,1
