Benchmark,Human,Cat,StableScore,SlowBuildScore,TransformativeScore,Viability,Risk
H01,田中 健一,ミケ,58.4,39.9,33.2,100.0,8.0
H01,田中 健一,クロ,47.2,83.7,25.2,95.8,16.0
H01,田中 健一,トラ,50.6,35.4,83.8,90.2,14.8
H01,田中 健一,シロ,55.6,46.1,28.0,99.1,8.0
H01,田中 健一,サバ,48.6,45.7,25.3,90.0,8.0
H01,田中 健一,ハチ,39.9,75.2,75.6,82.0,18.3
H01,田中 健一,モモ,55.3,36.5,33.1,99.4,8.0
H01,田中 健一,ゴマ,51.2,51.6,27.1,96.3,8.0
H01,田中 健一,チャチャ,33.4,28.5,68.4,70.7,35.8
H01,田中 健一,ソラ,58.1,44.1,33.2,100.0,8.0
H02,佐藤 美咲,ミケ,64.1,38.0,31.6,94.5,8.0
H02,佐藤 美咲,クロ,68.7,75.9,22.8,87.7,16.0
H02,佐藤 美咲,トラ,32.2,30.2,34.2,74.8,14.8
H02,佐藤 美咲,シロ,61.6,44.5,26.5,94.3,8.0
H02,佐藤 美咲,サバ,71.1,73.6,23.5,84.1,8.0
H02,佐藤 美咲,ハチ,37.0,47.9,46.5,75.1,18.3
H02,佐藤 美咲,モモ,50.8,32.8,29.8,88.5,8.0
H02,佐藤 美咲,ゴマ,81.7,79.5,25.3,90.2,8.0
H02,佐藤 美咲,チャチャ,30.9,26.3,21.9,63.1,32.0
H02,佐藤 美咲,ソラ,44.3,42.7,44.0,95.8,8.0
H03,山本 和夫,ミケ,66.4,39.9,33.2,100.0,8.0
H03,山本 和夫,クロ,44.4,81.4,23.2,89.2,16.0
H03,山本 和夫,トラ,58.2,35.0,38.5,89.2,14.8
H03,山本 和夫,シロ,89.0,46.4,28.2,100.0,8.0
H03,山本 和夫,サバ,49.7,46.6,26.1,92.7,8.0
H03,山本 和夫,ハチ,40.9,76.0,31.3,84.4,18.3
H03,山本 和夫,モモ,55.3,36.5,33.1,99.4,8.0
H03,山本 和夫,ゴマ,83.8,51.2,26.8,95.3,8.0
H03,山本 和夫,チャチャ,37.6,31.5,27.0,77.4,28.3
H03,山本 和夫,ソラ,66.1,44.1,45.2,100.0,8.0
H04,鈴木 彩,ミケ,100.0,39.6,33.0,99.4,8.0
H04,鈴木 彩,クロ,42.6,30.0,22.0,85.0,16.0
H04,鈴木 彩,トラ,77.6,31.3,22.2,78.2,14.8
H04,鈴木 彩,シロ,54.4,45.1,27.1,96.3,8.0
H04,鈴木 彩,サバ,44.2,52.1,22.1,79.4,8.0
H04,鈴木 彩,ハチ,35.2,21.4,2.2,70.8,18.3
H04,鈴木 彩,モモ,100.0,36.4,32.9,98.8,8.0
H04,鈴木 彩,ゴマ,46.8,58.0,24.0,85.8,8.0
H04,鈴木 彩,チャチャ,31.4,26.7,0.0,64.2,32.0
H04,鈴木 彩,ソラ,88.5,42.8,44.1,96.2,8.0
H05,高橋 直樹,ミケ,36.2,38.1,31.7,94.8,8.0
H05,高橋 直樹,クロ,73.7,100.0,26.3,99.5,16.0
H05,高橋 直樹,トラ,28.1,33.3,37.0,84.1,14.8
H05,高橋 直樹,シロ,54.8,45.4,27.4,97.1,8.0
H05,高橋 直樹,サバ,74.5,66.4,25.9,92.1,8.0
H05,高橋 直樹,ハチ,41.0,76.1,49.4,84.7,18.3
H05,高橋 直樹,モモ,30.4,32.6,29.5,87.7,8.0
H05,高橋 直樹,ゴマ,77.7,72.7,28.2,99.7,8.0
H05,高橋 直樹,チャチャ,31.8,27.2,22.2,67.0,35.8
H05,高橋 直樹,ソラ,38.1,44.1,33.2,100.0,8.0
H06,伊藤 由美,ミケ,58.1,39.6,33.0,99.2,8.0
H06,伊藤 由美,クロ,44.0,36.1,23.0,88.3,16.0
H06,伊藤 由美,トラ,43.9,30.0,0.0,74.2,14.8
H06,伊藤 由美,シロ,81.0,46.4,28.2,100.0,8.0
H06,伊藤 由美,サバ,45.6,43.2,23.1,82.8,8.0
H06,伊藤 由美,ハチ,35.1,26.3,0.0,70.6,18.3
H06,伊藤 由美,モモ,54.6,35.9,32.5,97.5,8.0
H06,伊藤 由美,ゴマ,75.8,51.2,26.8,95.3,8.0
H06,伊藤 由美,チャチャ,31.0,26.2,0.0,61.7,28.3
H06,伊藤 由美,ソラ,56.6,42.9,32.2,96.6,8.0
H07,中村 浩二,ミケ,78.4,39.9,33.2,100.0,8.0
H07,中村 浩二,クロ,43.2,55.5,22.4,86.5,16.0
H07,中村 浩二,トラ,67.3,32.7,100.0,82.3,14.8
H07,中村 浩二,シロ,54.2,45.0,27.0,95.9,8.0
H07,中村 浩二,サバ,46.5,43.9,48.7,85.0,8.0
H07,中村 浩二,ハチ,38.0,48.6,74.2,77.4,18.3
H07,中村 浩二,モモ,74.9,36.2,32.8,98.4,8.0
H07,中村 浩二,ゴマ,47.3,48.4,24.3,86.8,8.0
H07,中村 浩二,チャチャ,33.4,28.3,68.7,69.0,32.0
H07,中村 浩二,ソラ,78.1,44.1,70.2,100.0,8.0
H08,小林 麻衣,ミケ,63.7,37.7,31.3,93.5,8.0
H08,小林 麻衣,クロ,42.6,55.0,22.0,85.0,16.0
H08,小林 麻衣,トラ,75.9,33.2,28.9,83.7,14.8
H08,小林 麻衣,シロ,60.1,43.3,25.5,90.9,8.0
H08,小林 麻衣,サバ,46.6,71.0,35.8,85.2,8.0
H08,小林 麻衣,ハチ,60.5,50.7,11.0,83.4,18.3
H08,小林 麻衣,モモ,50.9,32.9,29.9,88.8,8.0
H08,小林 麻衣,ゴマ,54.4,59.6,23.7,84.7,8.0
H08,小林 麻衣,チャチャ,52.0,27.5,2.0,68.9,39.5
H08,小林 麻衣,ソラ,65.2,43.4,56.6,97.9,8.0
H09,加藤 修,ミケ,57.7,39.2,32.7,98.2,8.0
H09,加藤 修,クロ,64.4,78.1,24.7,94.1,16.0
H09,加藤 修,トラ,47.7,33.0,36.7,83.3,14.8
H09,加藤 修,シロ,54.5,45.2,27.2,96.6,8.0
H09,加藤 修,サバ,64.8,81.2,23.9,85.7,8.0
H09,加藤 修,ハチ,37.9,43.6,29.1,77.2,18.3
H09,加藤 修,モモ,51.7,33.6,30.4,90.6,8.0
H09,加藤 修,ゴマ,69.2,88.6,27.1,96.3,8.0
H09,加藤 修,チャチャ,31.2,11.6,22.1,63.9,32.0
H09,加藤 修,ソラ,58.1,44.1,33.2,100.0,8.0
H10,吉田 恵,ミケ,100.0,39.9,33.2,100.0,8.0
H10,吉田 恵,クロ,43.0,55.3,22.3,86.0,16.0
H10,吉田 恵,トラ,78.6,35.4,50.8,90.2,14.8
H10,吉田 恵,シロ,62.4,45.1,27.1,96.3,8.0
H10,吉田 恵,サバ,48.1,55.2,24.9,88.8,8.0
H10,吉田 恵,ハチ,40.6,50.8,31.1,83.8,18.3
H10,吉田 恵,モモ,95.6,36.8,33.2,100.0,8.0
H10,吉田 恵,ゴマ,54.8,58.0,24.0,85.8,8.0
H10,吉田 恵,チャチャ,37.6,31.6,27.0,77.5,28.3
H10,吉田 恵,ソラ,86.1,44.1,57.2,100.0,8.0
