HumanId,HumanName,Seed,Cat1,Cat2,Cat3,MaxTagJaccard,AverageTagJaccard,WeakPairCount,ProfileSimilarPair,MonotoneSetCandidate
"H01","田中 健一",11111,"クロ","トラ","シロ",0.200,0.067,0,False,False
"H01","田中 健一",22222,"クロ","トラ","ソラ",0.200,0.200,0,False,False
"H02","佐藤 美咲",11111,"ナギ","リン","ポン",0.000,0.000,0,False,False
"H02","佐藤 美咲",22222,"ナギ","リン","ポン",0.000,0.000,0,False,False
"H03","山本 和夫",11111,"クロ","ゴマ","ポン",0.200,0.067,0,False,False
"H03","山本 和夫",22222,"クロ","ゴマ","コハル",0.200,0.067,0,False,False
"H04","鈴木 彩",11111,"ゴマ","ソラ","リン",0.250,0.083,0,False,False
"H04","鈴木 彩",22222,"ミケ","ゴマ","リン",1.000,0.333,0,False,False
"H05","高橋 直樹",11111,"ナギ","ツムギ","ポン",0.667,0.222,0,True,False
"H05","高橋 直樹",22222,"ツムギ","ポン","ヨル",0.200,0.067,0,False,False
"H06","伊藤 由美",11111,"モモ","コハル","スズ",0.667,0.289,0,True,False
"H06","伊藤 由美",22222,"モモ","コハル","スズ",0.667,0.289,0,True,False
"H07","中村 浩二",11111,"ミケ","クロ","トラ",0.200,0.067,0,False,False
"H07","中村 浩二",22222,"クロ","リン","アラシ",0.200,0.067,0,False,False
"H08","小林 麻衣",11111,"トラ","サバ","ツムギ",0.250,0.167,0,False,False
"H08","小林 麻衣",22222,"トラ","サバ","ゴマ",0.250,0.233,0,False,False
"H09","加藤 修",11111,"ミケ","ゴマ","コハル",0.250,0.083,0,False,False
"H09","加藤 修",22222,"ミケ","コハル","ヨル",0.250,0.083,0,False,False
"H10","吉田 恵",11111,"クロ","トラ","コハル",0.200,0.067,0,False,False
"H10","吉田 恵",22222,"クロ","コハル","リン",0.250,0.083,0,False,False
